date,item,price,inflation_rate
2023-01-01,Maize (50kg),15000,0.05
2023-02-01,Maize (50kg),16000,0.06
2023-03-01,Maize (50kg),15500,0.05
2023-04-01,Maize (50kg),14000,0.04
2023-05-01,Maize (50kg),13500,0.03
2023-06-01,Maize (50kg),13000,0.03
2023-07-01,Maize (50kg),13500,0.03
2023-08-01,Maize (50kg),14500,0.04
2023-09-01,Maize (50kg),16000,0.05
2023-10-01,Maize (50kg),18000,0.06
2023-11-01,Maize (50kg),22000,0.08
2023-12-01,Maize (50kg),25000,0.10
2024-01-01,Maize (50kg),28000,0.12
2024-02-01,Maize (50kg),30000,0.15
2024-03-01,Maize (50kg),29000,0.14
2023-01-01,Fuel (1L),1700,0.05
2023-02-01,Fuel (1L),1750,0.06
2023-03-01,Fuel (1L),1750,0.05
2023-04-01,Fuel (1L),1750,0.04
2023-05-01,Fuel (1L),1750,0.03
2023-06-01,Fuel (1L),1800,0.03
2023-07-01,Fuel (1L),1850,0.03
2023-08-01,Fuel (1L),1900,0.04
2023-09-01,Fuel (1L),2000,0.05
2023-10-01,Fuel (1L),2200,0.06
2023-11-01,Fuel (1L),2500,0.08
2023-12-01,Fuel (1L),2500,0.10
2024-01-01,Fuel (1L),2600,0.12
2024-02-01,Fuel (1L),2700,0.15
2024-03-01,Fuel (1L),2800,0.14
2023-01-01,Electricity (Unit),120,0.05
2023-06-01,Electricity (Unit),135,0.03
2024-01-01,Electricity (Unit),150,0.12
