date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
1991-08-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,2,0.014
1991-08-15,,,National Average,1835,,,non-food,"Fuel (kerosene, paraffin)",350,L,actual,Retail,MWK,1.22,0.0087
1992-06-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,2.58,0.018
1992-06-15,,,National Average,1835,,,non-food,"Fuel (kerosene, paraffin)",350,L,actual,Retail,MWK,1.6,0.011
1992-12-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,2.78,0.02
1993-07-15,,,National Average,1835,,,non-food,"Fuel (kerosene, paraffin)",350,L,actual,Retail,MWK,1.72,0.012
1994-02-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,3.32,0.024
1994-04-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,3.4,0.024
1994-04-15,,,National Average,1835,,,non-food,"Fuel (kerosene, paraffin)",350,L,actual,Retail,MWK,2.12,0.015
1994-04-15,,,National Average,1835,,,non-food,Fuel (petrol),1041,L,actual,Retail,MWK,3.6,0.026
1994-10-15,,,National Average,1835,,,non-food,"Fuel (kerosene, paraffin)",350,L,actual,Retail,MWK,2.1,0.015
1994-10-15,,,National Average,1835,,,non-food,Fuel (petrol),1041,L,actual,Retail,MWK,6,0.043
1995-01-15,,,National Average,1835,,,non-food,Fuel (petrol),1041,L,actual,Retail,MWK,7.65,0.054
1995-03-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,6.68,0.047
1995-07-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,8.4,0.06
1995-12-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,8.4,0.06
1995-12-15,,,National Average,1835,,,non-food,"Fuel (kerosene, paraffin)",350,L,actual,Retail,MWK,7.54,0.054
1996-07-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,8.4,0.06
1996-07-15,,,National Average,1835,,,non-food,"Fuel (kerosene, paraffin)",350,L,actual,Retail,MWK,7.54,0.054
1996-07-15,,,National Average,1835,,,non-food,Fuel (petrol),1041,L,actual,Retail,MWK,10,0.071
1998-01-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1500,0.57
1998-01-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3000,1.15
1998-01-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1500,0.57
1998-02-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,11,0.078
1998-02-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1551,0.59
1998-03-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3200,1.22
1998-03-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1333,0.51
1998-04-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1666,0.64
1998-05-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1530,0.58
1998-05-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3200,1.22
1998-06-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1525,0.58
1998-06-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3625,1.38
1998-07-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1550,0.59
1998-07-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4250,1.62
1998-08-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1527,0.58
1998-09-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1441,0.55
1998-10-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,19.5,0.14
1998-10-15,,,National Average,1835,,,non-food,"Fuel (kerosene, paraffin)",350,L,actual,Retail,MWK,11,0.078
1998-10-15,Southern Region,Nsanje,Marka,2128,-17.12,35.23,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1500,0.57
1998-11-15,,,National Average,1835,,,non-food,Fuel (diesel),284,L,actual,Retail,MWK,19.5,0.14
1998-11-15,,,National Average,1835,,,non-food,Fuel (petrol),1041,L,actual,Retail,MWK,22,0.16
